SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44050500,44050599
meylvvmsdp06a,44050600,44050699
meylvvmsdp06a,44050700,44050799
meylvvmsdp06a,44050800,44050899
meylvvmsdp06a,44050900,44050999
meylvvmsdp06a,44051000,44051099
meylvvmsdp06a,44051100,44051199
meylvvmsdp06a,44051200,44051299
meylvvmsdp06a,44051300,44051399
meylvvmsdp06a,44051400,44051499
meylvvmsdp06a,44051500,44051599
meylvvmsdp06a,44051600,44051699
meylvvmsdp06a,44051700,44051799
meylvvmsdp06a,44051800,44051899
meylvvmsdp06a,44051900,44051999
meylvvmsdp06a,44052000,44052099
meylvvmsdp06a,44052100,44052199
meylvvmsdp06a,44052200,44052299
meylvvmsdp06a,44052300,44052399
meylvvmsdp06a,44052400,44052499
meylvvmsdp06a,44052500,44052599
meylvvmsdp06a,44052600,44052699
meylvvmsdp06a,44052700,44052799
meylvvmsdp06a,44052800,44052899
meylvvmsdp06a,44052900,44052999
meylvvmsdp06a,44053000,44053099
meylvvmsdp06a,44053100,44053199
meylvvmsdp06a,44053200,44053299
meylvvmsdp06a,44053300,44053399
meylvvmsdp06a,44053400,44053499
meylvvmsdp06a,44053500,44053599
meylvvmsdp06a,44053600,44053699
meylvvmsdp06a,44053700,44053799
meylvvmsdp06a,44053800,44053899
meylvvmsdp06a,44053900,44053999
meylvvmsdp06a,44054000,44054099
meylvvmsdp06a,44054100,44054199
meylvvmsdp06a,44054200,44054299
meylvvmsdp06a,44054300,44054399
meylvvmsdp06a,44054400,44054499
meylvvmsdp06a,44054500,44054599
meylvvmsdp06a,44054600,44054699
meylvvmsdp06a,44054700,44054799
meylvvmsdp06a,44054800,44054899
meylvvmsdp06a,44054900,44054999
meylvvmsdp06a,44055000,44055099
meylvvmsdp06a,44055100,44055199
meylvvmsdp06a,44055200,44055299
meylvvmsdp06a,44055300,44055399
meylvvmsdp06a,44055400,44055499
meylvvmsdp06a,44055500,44055599
meylvvmsdp06a,44055600,44055699
meylvvmsdp06a,44055700,44055799
meylvvmsdp06a,44055800,44055899
meylvvmsdp06a,44055900,44055999
meylvvmsdp06a,44056000,44056099
meylvvmsdp06a,44056100,44056199
meylvvmsdp06a,44056200,44056299
meylvvmsdp06a,44056300,44056399
meylvvmsdp06a,44056400,44056499
meylvvmsdp06a,44056500,44056599
meylvvmsdp06a,44056600,44056699
meylvvmsdp06a,44056700,44056799
meylvvmsdp06a,44056800,44056899
meylvvmsdp06a,44056900,44056999
meylvvmsdp06a,44057000,44057099
meylvvmsdp06a,44057100,44057199
meylvvmsdp06a,44057200,44057299
meylvvmsdp06a,44057300,44057399
meylvvmsdp06a,44057400,44057499
meylvvmsdp06a,44057500,44057599
meylvvmsdp06a,44057600,44057699
meylvvmsdp06a,44057700,44057799
meylvvmsdp06a,44057800,44057899
meylvvmsdp06a,44057900,44057999
meylvvmsdp06a,44058000,44058099
meylvvmsdp06a,44058100,44058199
meylvvmsdp06a,44058200,44058299
meylvvmsdp06a,44058300,44058399
meylvvmsdp06a,44058400,44058499
meylvvmsdp06a,44058500,44058599
meylvvmsdp06a,44058600,44058699
meylvvmsdp06a,44058700,44058799
meylvvmsdp06a,44058800,44058899
meylvvmsdp06a,44058900,44058999
meylvvmsdp06a,44059000,44059099
meylvvmsdp06a,44059100,44059199
meylvvmsdp06a,44059200,44059299
meylvvmsdp06a,44059300,44059399
meylvvmsdp06a,44059400,44059499
meylvvmsdp06a,44059500,44059599
meylvvmsdp06a,44059600,44059699
meylvvmsdp06a,44059700,44059799
meylvvmsdp06a,44059800,44059899
meylvvmsdp06a,44059900,44059999
meylvvmsdp06a,44060000,44060099
meylvvmsdp06a,44060100,44060199
meylvvmsdp06a,44060200,44060299
meylvvmsdp06a,44060300,44060399
meylvvmsdp06a,44060400,44060499
meylvvmsdp06a,44060500,44060599
meylvvmsdp06a,44060600,44060699
meylvvmsdp06a,44060700,44060799
meylvvmsdp06a,44060800,44060899
meylvvmsdp06a,44060900,44060999
meylvvmsdp06a,44061000,44061099
meylvvmsdp06a,44061100,44061199
meylvvmsdp06a,44061200,44061299
meylvvmsdp06a,44061300,44061399
meylvvmsdp06a,44061400,44061499
meylvvmsdp06a,44061500,44061599
